Longitude,Latitude,Speed,Distance,Time,Acc X,Acc Y,Acc Z,Heading,Pitch,Roll,gyro_x,gyro_y,gyro_z,gravity_x,gravity_y,gravity_z
34.80059112,31.26168932,0.0,0.041056253,10-26-47,0.17481565,-0.8164685,-0.36097145,254.0,-4.4101634,-15.434795,0.009613037,-0.0683136,-0.018463135,-2.6812036,0.762098,9.402167
34.80059136,31.26168951,0.0,0.01238152,10-26-47,-1.0324392,-0.269552,0.08683205,254.0,-4.740514,-15.174246,0.009613037,-0.0683136,-0.018463135,-2.6662502,0.71373,9.410212
34.80059136,31.26168951,0.0,0.01238152,10-26-47,-1.0324392,-0.269552,0.08683205,254.0,-5.511591,-13.799064,0.061340332,-0.14567566,0.056747437,-2.6662502,0.71373,9.410212
34.80059136,31.26168951,0.0,0.01238152,10-26-48,0.24669027,0.39634,-0.035601616,254.0,-5.688321,-13.24467,0.061340332,-0.14567566,0.056747437,-2.4011958,0.85432136,9.469677
34.80059136,31.26168951,0.0,0.01238152,10-26-48,0.24669027,0.39634,-0.035601616,253.0,-5.801728,-14.241586,0.011489868,0.052124023,0.09107971,-2.4011958,0.85432136,9.469677
34.80059136,31.26168951,0.0,0.01238152,10-26-48,-0.67673683,0.32874048,0.17135811,253.0,-5.664947,-13.920146,0.011489868,0.052124023,0.09107971,-2.3220012,0.94171,9.4811325
34.80059136,31.26168951,0.0,0.01238152,10-26-48,-0.67673683,0.32874048,0.17135811,254.0,-5.389487,-13.73406,-0.047470093,-0.06462097,-0.0043029785,-2.3220012,0.94171,9.4811325
34.80059136,31.26168951,0.0,0.01238152,10-26-48,-0.2096448,0.116202116,0.26682472,255.0,-5.244529,-13.294618,-0.047470093,-0.06462097,-0.0043029785,-2.3233082,0.9027441,9.484602
34.80059136,31.26168951,0.0,0.01238152,10-26-48,-0.2096448,0.116202116,0.26682472,255.0,-5.962516,-13.614118,0.070251465,-0.0071411133,-0.08085632,-2.3233082,0.9027441,9.484602
34.80059136,31.26168951,0.0,0.01238152,10-26-48,0.6119106,-0.25276357,-0.28672695,256.0,-5.9556713,-13.619971,0.070251465,-0.0071411133,-0.08085632,-2.2691617,0.9471136,9.493381
34.80059136,31.26168951,0.0,0.01238152,10-26-48,0.6119106,-0.25276357,-0.28672695,257.0,-5.1152306,-14.155233,-0.021469116,0.031814575,-0.09106445,-2.2691617,0.9471136,9.493381
34.80059156,31.26168968,0.0,0.019992933,10-26-48,-0.43076634,0.38448173,0.21222115,257.0,-3.9286866,-14.01604,-0.021469116,0.031814575,-0.09106445,-2.3540049,0.88265437,9.478923
34.80059156,31.26168968,0.0,0.019992933,10-26-48,-0.43076634,0.38448173,0.21222115,257.0,-3.2645917,-13.821481,-0.20223999,-0.037612915,0.020401001,-2.3540049,0.88265437,9.478923
34.80059156,31.26168968,0.0,0.019992933,10-26-49,-0.5594249,-0.097381175,-0.2527361,257.0,-4.046367,-12.922577,-0.20223999,-0.037612915,0.020401001,-2.3471763,0.6566691,9.498944
34.80059156,31.26168968,0.0,0.019992933,10-26-49,-0.5594249,-0.097381175,-0.2527361,256.0,-4.4859033,-13.482364,0.10279846,-0.010986328,0.041900635,-2.3471763,0.6566691,9.498944
34.80059156,31.26168968,0.0,0.019992933,10-26-49,1.1405935,0.14641744,-0.18373585,255.0,-4.854477,-14.605621,0.10279846,-0.010986328,0.041900635,-2.3030143,0.69960314,9.506685
34.80059156,31.26168968,0.0,0.019992933,10-26-49,1.1405935,0.14641744,-0.18373585,255.0,-4.651203,-14.681199,-0.02848816,0.08747864,0.08842468,-2.3030143,0.69960314,9.506685
34.80059156,31.26168968,0.0,0.019992933,10-26-49,-1.1394093,0.76145416,-0.12654686,255.0,-3.6098576,-14.827286,-0.02848816,0.08747864,0.08842468,-2.4574265,0.77947056,9.461705
34.80059156,31.26168968,0.0,0.019992933,10-26-49,-1.1394093,0.76145416,-0.12654686,256.0,-3.240036,-13.658685,-0.09588623,-0.09370422,-0.04660034,-2.4574265,0.77947056,9.461705
34.80059156,31.26168968,0.0,0.019992933,10-26-49,-0.32371998,-0.9668875,-0.2115097,256.0,-3.3590522,-13.654184,-0.09588623,-0.09370422,-0.04660034,-2.3945792,0.61869925,9.489657
34.80059156,31.26168968,0.0,0.019992933,10-26-49,-0.32371998,-0.9668875,-0.2115097,256.0,-4.128742,-13.767911,0.08805847,0.013397217,0.0038604736,-2.3945792,0.61869925,9.489657
34.80058453,31.26168909,1.1101803,0.66452116,10-26-49,0.33218098,-0.1825183,0.4499836,257.0,-3.9003074,-15.152093,0.08805847,0.013397217,0.0038604736,-2.3366745,0.6272217,9.503522
34.80058453,31.26168909,1.1101803,0.66452116,10-26-49,0.33218098,-0.1825183,0.4499836,256.0,-3.6862116,-13.982359,-0.036590576,-0.009353638,0.013015747,-2.3366745,0.6272217,9.503522
34.80058453,31.26168909,1.1101803,0.66452116,10-26-50,-0.9802146,0.20120144,-0.48959637,257.0,-3.4715993,-13.630367,-0.036590576,-0.009353638,0.013015747,-2.4014785,0.6527751,9.48563
34.80058453,31.26168909,1.1101803,0.66452116,10-26-50,-0.9802146,0.20120144,-0.48959637,256.0,-3.695496,-12.554988,0.0053253174,-0.120162964,0.011245728,-2.4014785,0.6527751,9.48563
34.80058453,31.26168909,1.1101803,0.66452116,10-26-50,0.15025568,-0.37683368,-0.33302498,255.0,-3.9480584,-12.189077,0.0053253174,-0.120162964,0.011245728,-2.2308884,0.5896737,9.531307
34.80058453,31.26168909,1.1101803,0.66452116,10-26-50,0.15025568,-0.37683368,-0.33302498,254.0,-4.1462016,-12.323361,-0.01210022,-4.5776367E-5,0.18736267,-2.2308884,0.5896737,9.531307
34.80058453,31.26168909,1.1101803,0.66452116,10-26-50,0.11239004,0.34051198,0.80094147,254.0,-4.5423236,-12.337619,-0.01210022,-4.5776367E-5,0.18736267,-2.0996428,0.68195575,9.554937
34.80058453,31.26168909,1.1101803,0.66452116,10-26-50,0.11239004,0.34051198,0.80094147,255.0,-4.5494576,-12.843986,0.02897644,0.04360962,-0.017852783,-2.0996428,0.68195575,9.554937
34.80058453,31.26168909,1.1101803,0.66452116,10-26-50,-0.33441567,0.31779313,0.27849674,256.0,-4.4873633,-13.507221,0.02897644,0.04360962,-0.017852783,-2.1637747,0.7553483,9.535089
34.80058453,31.26168909,1.1101803,0.66452116,10-26-50,-0.33441567,0.31779313,0.27849674,256.0,-4.430315,-14.771477,0.02619934,0.17410278,-0.118255615,-2.1637747,0.7553483,9.535089
34.80055706,31.26169603,1.112205,3.357934,10-26-50,0.581887,-0.36696452,-0.47555923,258.0,-4.9782767,-15.65278,0.02619934,0.17410278,-0.118255615,-2.3640363,0.7456073,9.488193
34.80055706,31.26169603,1.112205,3.357934,10-26-50,-1.0467355,-0.046235263,-0.86612606,258.0,-4.422137,-15.299159,0.040863037,-0.0049438477,-0.15673828,-2.584876,0.7448213,9.430485
34.80055706,31.26169603,1.112205,3.357934,10-26-51,-1.0467355,-0.046235263,-0.86612606,258.0,-4.4450045,-14.609504,0.040863037,-0.0049438477,-0.15673828,-2.584876,0.7448213,9.430485
34.80055706,31.26169603,1.112205,3.357934,10-26-51,-0.8261385,-0.11137366,-0.9362011,259.0,-5.263689,-12.787239,0.1003418,-0.25439453,-0.08857727,-2.3643262,0.8188166,9.482082
34.80055706,31.26169603,1.112205,3.357934,10-26-51,-0.8261385,-0.11137366,-0.9362011,259.0,-5.7072716,-10.769459,0.1003418,-0.25439453,-0.08857727,-2.3643262,0.8188166,9.482082
34.80055706,31.26169603,1.112205,3.357934,10-26-51,1.029747,0.25631046,0.6812744,259.0,-5.807743,-10.139426,0.02279663,-0.19042969,0.10612488,-1.8804059,0.95256144,9.577426
34.80055706,31.26169603,1.112205,3.357934,10-26-51,1.029747,0.25631046,0.6812744,258.0,-6.335302,-9.054897,0.02279663,-0.19042969,0.10612488,-1.8804059,0.95256144,9.577426
34.80055706,31.26169603,1.112205,3.357934,10-26-51,-0.53902996,0.21108627,0.93190956,258.0,-6.838427,-8.943509,0.08590698,-0.11627197,0.059173584,-1.6129043,1.0880677,9.611713
34.80055706,31.26169603,1.112205,3.357934,10-26-51,-0.53902996,0.21108627,0.93190956,259.0,-7.385641,-8.368382,0.08590698,-0.11627197,0.059173584,-1.6129043,1.0880677,9.611713
34.80054265,31.26169131,0.9364828,4.655921,10-26-51,1.0921718,0.07615638,-0.037035942,260.0,-6.834438,-9.272618,0.01083374,0.04940796,-0.094696045,-1.5024731,1.182379,9.618469
34.80054265,31.26169131,0.9364828,4.655921,10-26-51,1.0921718,0.07615638,-0.037035942,260.0,-5.995822,-9.692937,0.01083374,0.04940796,-0.094696045,-1.5024731,1.182379,9.618469
34.80054265,31.26169131,0.9364828,4.655921,10-26-51,0.5391681,-0.39738142,0.045781136,261.0,-5.2483935,-10.530663,-0.11402893,0.11004639,-0.11125183,-1.655707,1.0353619,9.610258
34.80054265,31.26169131,0.9364828,4.655921,10-26-52,0.5391681,-0.39738142,0.045781136,261.0,-4.3196335,-10.619346,-0.11402893,0.11004639,-0.11125183,-1.655707,1.0353619,9.610258
34.80054265,31.26169131,0.9364828,4.655921,10-26-52,-1.2146626,0.06498724,-0.25666904,261.0,-4.3472176,-10.222564,-0.08042908,-0.05747986,-0.027526855,-1.784365,0.8268856,9.607429
34.80054265,31.26169131,0.9364828,4.655921,10-26-52,-1.2146626,0.06498724,-0.25666904,262.0,-4.393227,-9.848394,-0.08042908,-0.05747986,-0.027526855,-1.784365,0.8268856,9.607429
34.80054265,31.26169131,0.9364828,4.655921,10-26-52,0.31192386,0.04453063,-0.20648003,261.0,-4.0497375,-9.758172,-0.026748657,-0.028411865,-0.00592041,-1.6913084,0.71948075,9.632872
34.80054265,31.26169131,0.9364828,4.655921,10-26-52,0.31192386,0.04453063,-0.20648003,261.0,-3.5992846,-10.124599,-0.026748657,-0.028411865,-0.00592041,-1.6913084,0.71948075,9.632872
34.80054265,31.26169131,0.9364828,4.655921,10-26-52,0.1543839,-0.4211893,0.9625988,260.0,-4.764355,-11.445139,0.051330566,0.14222717,0.113601685,-1.739327,0.7103032,9.624998
34.80054265,31.26169131,0.9364828,4.655921,10-26-52,0.1543839,-0.4211893,0.9625988,258.0,-5.2063985,-12.369152,0.051330566,0.14222717,0.113601685,-1.739327,0.7103032,9.624998
34.80054265,31.26169131,0.9364828,4.655921,10-26-52,-1.1750464,-0.15400302,-0.8270788,259.0,-6.1896234,-11.598777,0.1006012,0.017410278,0.11412048,-1.9400522,0.8666086,9.573691
34.80053593,31.26170016,0.9408507,5.421816,10-26-52,-1.1750464,-0.15400302,-0.8270788,259.0,-6.75657,-11.678244,0.1006012,0.017410278,0.11412048,-1.9400522,0.8666086,9.573691
34.80053593,31.26170016,0.9408507,5.421816,10-26-52,1.2426524,0.34647238,-0.009250641,260.0,-6.463466,-12.501376,0.04534912,0.08670044,-0.14674377,-2.003622,1.0588301,9.541214
34.80053593,31.26170016,0.9408507,5.421816,10-26-53,1.2426524,0.34647238,-0.009250641,261.0,-5.563166,-12.824522,0.04534912,0.08670044,-0.14674377,-2.003622,1.0588301,9.541214
34.80053593,31.26170016,0.9408507,5.421816,10-26-53,-0.6494551,-0.33826762,-0.9606924,261.0,-4.629354,-11.988353,-0.13421631,-0.09561157,-0.053085327,-2.1231697,0.93890506,9.527906
34.80053593,31.26170016,0.9408507,5.421816,10-26-53,-0.6494551,-0.33826762,-0.9606924,261.0,-4.2707214,-10.957568,-0.13421631,-0.09561157,-0.053085327,-2.1231697,0.93890506,9.527906
34.80053593,31.26170016,0.9408507,5.421816,10-26-53,-0.35632813,0.17909181,0.0532341,261.0,-4.091582,-9.680053,-0.042175293,-0.21250916,-0.010437012,-1.9197737,0.74390745,9.58809
34.80053593,31.26170016,0.9408507,5.421816,10-26-53,-0.35632813,0.17909181,0.0532341,261.0,-4.3571615,-8.633797,-0.042175293,-0.21250916,-0.010437012,-1.9197737,0.74390745,9.58809
34.80053593,31.26170016,0.9408507,5.421816,10-26-53,1.0057315,-0.51242656,0.85381603,259.0,-4.8006644,-8.777515,0.039398193,-0.015075684,0.19889832,-1.5605128,0.727028,9.654357
34.80053593,31.26170016,0.9408507,5.421816,10-26-53,1.0057315,-0.51242656,0.85381603,258.0,-5.5921125,-9.660145,0.039398193,-0.015075684,0.19889832,-1.5605128,0.727028,9.654357
34.80052573,31.26170419,0.9304837,6.4711785,10-26-53,-0.17609656,0.5033237,0.8633776,258.0,-6.170486,-9.939963,0.08518982,0.111068726,0.10990906,-1.5690562,0.89612925,9.638744
34.80052573,31.26170419,0.9304837,6.4711785,10-26-53,-0.17609656,0.5033237,0.8633776,258.0,-6.826661,-9.734735,0.08518982,0.111068726,0.10990906,-1.5690562,0.89612925,9.638744
34.80052573,31.26170419,0.9304837,6.4711785,10-26-53,0.6292316,-0.19403374,-0.4479475,258.0,-7.54133,-10.408211,0.12057495,0.06390381,-0.0040283203,-1.6652651,1.1202272,9.599082
