
***** VIDEOINPUT LIBRARY - 0.1995 - TFW07 *****

reading from input file
initializing...
41,-222.716,31.5914
41.1,-223.516,30.7235
41.2,-222.465,30.0879
41.3,-221.647,30.4536
41.4,-220.446,29.4375
41.5,-219.372,28.1446
41.6,-217.381,27.5067
41.7,-217.382,28.6853
41.8,-213.362,27.6009
41.9,-208.817,26.9113
42,-204.609,26.4457
42.1,-201.03,25.8487
42.2,-198.323,24.663
42.3,-194.752,24.1238
42.4,-190.631,22.9758
42.5,-188.407,22.6221
42.6,-189.178,24.573
42.7,-192.647,22.5693
42.7,-193.684,19.9977
42.8,-194.002,20.6717
42.9,-195.207,18.5575
43,-194.604,18.1313
43.1,-194.745,17.1823
43.2,-197.028,13.3709
43.3,-198.142,8.37529
43.4,-199.075,7.19523
43.5,-200.316,5.79953
43.6,-201.203,4.18889
43.7,-199.148,3.90561
43.8,-196.311,2.51261
43.9,-194.709,1.17886
45.5,-184.456,-10.2566
45.6,-184.136,-11.685
45.7,-184.034,-13.0979
45.8,-184.02,-14.9317
45.9,-184.348,-16.6082
46,-183.79,-18.1806
46.1,-183.28,-19.873
46.2,-181.757,-21.2659
46.3,-180.539,-22.4647
46.4,-180.055,-23.7444
46.5,-180.226,-24.7086
46.6,-179.477,-25.1995
47.5,-172.689,-21.6922
47.6,-172.514,-22.89
47.7,-172.905,-23.4181
47.8,-172.84,-24.1989
47.9,-172.692,-24.7937
48,-172.643,-26.1317
48.1,-171.753,-26.5396
48.2,-171.166,-27.173
48.3,-169.883,-29.0273
48.4,-170.33,-33.3508
48.5,-173.041,-38.0261
48.6,-172.405,-39.1388
48.7,-171.664,-39.6284
48.8,-170.807,-40.2636
48.9,-169.523,-40.2641
49,-168.605,-40.446
49,-166.972,-40.7344
49.1,-166.946,-40.1066
49.2,-165.078,-40.3221
49.3,-162.116,-40.6176
49.4,-157.816,-39.9701
49.5,-155.489,-44.1919
49.6,-149.943,-46.5075
49.7,-146.178,-49.8035
49.8,-142.373,-51.8432
49.9,-140.264,-53.1029
50,-138.975,-54.6915
50.1,-137.944,-56.1389
50.2,-136.815,-56.9531
50.3,-134.205,-55.8942
50.4,-134.418,-55.1939
50.5,-133.802,-54.4423
50.6,-134.05,-54.7211
50.7,-133.738,-53.8607
50.8,-135.178,-54.7794
50.9,-137.028,-55.174
51,-136.656,-54.6345
51.1,-135.839,-54.5282
51.2,-133.588,-54.182
51.3,-132.458,-54.2106
51.4,-130.855,-54.3245
51.5,-131.974,-55.3069
51.6,-130.407,-56.3113
51.7,-128.433,-58.8155
51.8,-124.357,-59.931
51.9,-121.49,-62.9817
52,-117.587,-65.0201
52.1,-114.408,-68.428
52.2,-112.471,-72.8288
52.3,-108.342,-73.9032
52.4,-105.764,-74.2505
52.5,-103.14,-76.6684
